Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
00,SUCCESS,03,06,1133.72,00.2,1133.92
01,SUCCESS,02,03,1096.76,00.2,1096.96
02,SUCCESS,03,06,3554.53,1133.92,4688.44
03,SUCCESS,02,04,1277.39,00.2,1277.59
04,SUCCESS,03,06,2604.44,4688.44,7292.88
05,SUCCESS,02,05,1143.83,00.2,1144.03
06,SUCCESS,02,03,2025.32,1096.96,3122.28
07,SUCCESS,02,03,2687.6,3122.28,5809.89
08,SUCCESS,02,02,1699.5,00.2,1699.7
09,SUCCESS,03,06,673.02,7292.88,7965.9
10,SUCCESS,02,04,3776.18,1277.59,5053.77
11,SUCCESS,03,06,3365.63,7965.9,11331.53
12,SUCCESS,02,04,3283.24,5053.77,8337
13,SUCCESS,02,03,3480.4,5809.89,9290.28
14,SUCCESS,03,06,2673.8,11331.53,14005.33
15,SUCCESS,02,02,3053.72,1699.7,4753.42
16,SUCCESS,02,03,1893.72,9290.28,11184
17,SUCCESS,03,06,1807.48,14005.33,15812.81
18,SUCCESS,02,05,513.48,1144.03,1657.51
19,SUCCESS,02,02,2715.78,4753.42,7469.2
20,SUCCESS,02,04,3732.43,8337,12069.44
21,SUCCESS,02,03,3469.01,11184,14653.02
22,SUCCESS,02,02,2406.88,7469.2,9876.08
23,SUCCESS,02,02,3400.88,9876.08,13276.96
24,SUCCESS,02,04,2244.77,12069.44,14314.21
25,SUCCESS,02,03,1748.55,14653.02,16401.57
26,SUCCESS,02,03,3069.39,16401.57,19470.96
27,SUCCESS,02,02,1801.87,13276.96,15078.83
28,SUCCESS,02,02,3649.88,15078.83,18728.71
29,SUCCESS,03,06,3633.7,15812.81,19446.51
Makespan using RR: 5228.16077189661
