Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
2,SUCCESS,3,3,430.3,0.1,430.4
5,SUCCESS,3,3,677.1,430.4,1107.5
11,SUCCESS,6,6,1829.24,0.1,1829.34
1,SUCCESS,4,4,2380.96,0.1,2381.06
4,SUCCESS,5,5,2544.2,0.1,2544.3
0,SUCCESS,2,2,3455.19,0.1,3455.29
7,SUCCESS,5,5,2006.82,2544.3,4551.12
6,SUCCESS,3,3,3543.24,1107.5,4650.74
3,SUCCESS,4,4,2674.98,2381.06,5056.04
19,SUCCESS,2,2,1908.86,3455.29,5364.15
20,SUCCESS,6,6,3610.48,1829.34,5439.82
9,SUCCESS,3,3,1430.5,4650.74,6081.24
8,SUCCESS,4,4,1601.92,5056.04,6657.96
10,SUCCESS,4,4,767.57,6657.96,7425.52
16,SUCCESS,3,3,2103.3,6081.24,8184.54
25,SUCCESS,2,2,2845.02,5364.15,8209.17
12,SUCCESS,5,5,3831.17,4551.12,8382.29
22,SUCCESS,3,3,447.16,8184.54,8631.7
27,SUCCESS,6,6,3598.77,5439.82,9038.59
28,SUCCESS,2,2,942.65,8209.17,9151.82
13,SUCCESS,4,4,2556.41,7425.52,9981.93
15,SUCCESS,5,5,1843.6,8382.29,10225.9
26,SUCCESS,3,3,1670.8,8631.7,10302.51
21,SUCCESS,5,5,1648.97,10225.9,11874.87
14,SUCCESS,4,4,3490.09,9981.93,13472.02
24,SUCCESS,5,5,2456.68,11874.87,14331.55
17,SUCCESS,4,4,2312.29,13472.02,15784.31
18,SUCCESS,4,4,1506.34,15784.31,17290.65
23,SUCCESS,4,4,1482.52,17290.65,18773.17
29,SUCCESS,4,4,2674.52,18773.17,21447.7
Makespan using RR: 6049.05150587789,,,,,,
